Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2013,1,1,"Fremont City School District, Ohio",307,79.8,29466,0.49,0.51,0.06,0.16,0.78,0.87,0.13,0.86,0.14,39915
2008,0,1,"Gahanna-Jefferson City School District, Ohio",484,80,44729,0.49,0.51,0.08,0.18,0.74,0.81,0.19,0.54,0.46,76996
2013,1,1,"Gahanna-Jefferson City School District, Ohio",505,90.5,45410,0.5,0.5,0.06,0.2,0.74,0.81,0.19,0.51,0.49,74081
2008,0,1,"Garfield Heights City School District, Ohio",304,69.4,26338,0.46,0.54,0.06,0.2,0.74,0.75,0.25,0.87,0.13,43166
2013,1,1,"Garfield Heights City School District, Ohio",215,75.4,26086,0.45,0.55,0.06,0.17,0.77,0.62,0.38,0.84,0.16,37049
2008,0,1,"Green Local School District (Summit County), Ohio",302,89.7,25904,0.5,0.5,0.08,0.18,0.74,0.92,0.08,0.66,0.34,63534
2013,1,1,"Green Local School District (Summit County), Ohio",320,91.6,25862,0.5,0.5,0.04,0.18,0.79,0.93,0.07,0.67,0.33,55125
2008,0,1,"Greenville City School District, Ohio",192,78.7,21738,0.47,0.53,0.06,0.16,0.78,0.93,0.07,0.88,0.12,41623
2013,1,1,"Greenville City School District, Ohio",204,81.9,21919,0.47,0.53,0.06,0.15,0.79,0.93,0.07,0.88,0.12,34126
2008,0,1,"Groveport Madison Local School District, Ohio",439,66.3,46582,0.47,0.53,0.1,0.2,0.7,0.66,0.34,0.82,0.18,53293
2013,1,1,"Groveport Madison Local School District, Ohio",411,78.1,45137,0.48,0.52,0.08,0.17,0.75,0.6,0.4,0.85,0.15,48407
2008,0,1,"Hamilton City School District, Ohio",641,71.3,58795,0.49,0.51,0.08,0.16,0.76,0.9,0.1,0.87,0.13,39390
2013,1,1,"Hamilton City School District, Ohio",750,74.1,62235,0.47,0.53,0.08,0.16,0.76,0.86,0.14,0.85,0.15,37856
2008,0,1,"Hilliard City School District, Ohio",1111,79.7,86425,0.5,0.5,0.09,0.23,0.69,0.87,0.13,0.53,0.47,75977
