tot_pop_log,median_inc_log,year,after,ohio,school_district,number_tested,pct_prof_or_above,tot_pop,perc_male,perc_female,perc_under5,perc_5to19,perc_20plus,perc_caucasian,perc_otherethnicity,perc_nobach,perc_bachplus,median_inc,interaction
10.7856422224806,10.376486690761663,2013,1,1,"Euclid City School District, Ohio",358,58.1,48321,0.46,0.54,0.06,0.17,0.78,0.39,0.61,0.81,0.19,32095,1
10.656176415804389,10.696140643952106,2008,0,1,"Fairborn City School District, Ohio",315,66.7,42453,0.49,0.51,0.05,0.14,0.81,0.86,0.14,0.74,0.26,44184,0
10.6633817512079,10.580530757347516,2013,1,1,"Fairborn City School District, Ohio",353,78.8,42760,0.5,0.5,0.05,0.12,0.82,0.83,0.17,0.75,0.25,39360,1
11.080356339170006,11.019219133011626,2008,0,1,"Fairfield City School District, Ohio",698,80.7,64883,0.49,0.51,0.06,0.18,0.76,0.86,0.14,0.76,0.24,61035,0
11.084017712735514,10.921883507347436,2013,1,1,"Fairfield City School District, Ohio",718,87.1,65121,0.49,0.51,0.05,0.19,0.76,0.85,0.15,0.72,0.28,55374,1
10.63510997614786,10.649203463768854,2008,0,1,"Findlay City School District, Ohio",457,77.9,41568,0.47,0.53,0.06,0.16,0.78,0.91,0.09,0.76,0.24,42158,0
10.657964988247679,10.573698701813015,2013,1,1,"Findlay City School District, Ohio",431,85.6,42529,0.48,0.52,0.06,0.16,0.77,0.92,0.08,0.73,0.27,39092,1
10.833049826603522,11.307327092871768,2008,0,1,"Forest Hills Local School District, Ohio",533,90.8,50667,0.49,0.51,0.07,0.21,0.72,0.95,0.05,0.51,0.49,81415,0
10.739998875403943,11.268979536776724,2013,1,1,"Forest Hills Local School District, Ohio",590,93.1,46165,0.47,0.53,0.06,0.2,0.74,0.95,0.05,0.48,0.52,78352,1
10.262489786233951,10.49573646899098,2013,1,0,"Fort Dodge Community School District, Iowa",245,72.2,28637,0.51,0.49,0.05,0.15,0.8,0.9,0.1,0.8,0.2,36160,0
